3SsnPorch,2ndFlrSF,HalfBath,OverallQual,OverallCond,LotArea,GrLivArea,YearRemodAdd,MasVnrArea,1stFlrSF,BsmtFullBath,LotFrontage,MiscVal,KitchenAbvGr,WoodDeckSF,BsmtHalfBath,TotalBsmtSF,TotRmsAbvGrd,YrSold,OpenPorchSF,LowQualFinSF,BsmtUnfSF,GarageYrBlt,FullBath,GarageCars,YearBuilt,BsmtFinSF1,BsmtFinSF2,PoolArea,ScreenPorch,Fireplaces,GarageArea,EnclosedPorch,BedroomAbvGr,MasVnrType_E,LotConfig_E,LandSlope_E,GarageQual_E,Exterior1st_E,GarageFinish_E,Electrical_E,BsmtQual_E,HouseStyle_E,Foundation_E,BsmtCond_E,HeatingQC_E,CentralAir_E,BsmtExposure_E,Utilities_E,LotShape_E,Condition1_E,Condition2_E,PavedDrive_E,BldgType_E,SaleType_E,MSZoning_E,Exterior2nd_E,Heating_E,MSSubClass_E,KitchenQual_E,BsmtFinType2_E,BsmtFinType1_E,GarageType_E,LandContour_E,Neighborhood_E,Fence_E,MoSold_E,SaleCondition_E,ExterQual_E,Functional_E,Alley_E,RoofStyle_E,Street_E,ExterCond_E,PoolQC_E,FireplaceQu_E,RoofMatl_E,GarageCond_E,MasVnrType_E,LotConfig_E,LandSlope_E,GarageQual_E,Exterior1st_E,GarageFinish_E,Electrical_E,BsmtQual_E,HouseStyle_E,Foundation_E,BsmtCond_E,HeatingQC_E,CentralAir_E,BsmtExposure_E,Utilities_E,LotShape_E,Condition1_E,Condition2_E,PavedDrive_E,BldgType_E,SaleType_E,MSZoning_E,Exterior2nd_E,Heating_E,MSSubClass_E,KitchenQual_E,BsmtFinType2_E,BsmtFinType1_E,GarageType_E,LandContour_E,Neighborhood_E,Fence_E,MoSold_E,SaleCondition_E,ExterQual_E,Functional_E,Alley_E,RoofStyle_E,Street_E,ExterCond_E,PoolQC_E,FireplaceQu_E,RoofMatl_E,GarageCond_E
0,6.75110146894,1,7,5,9.04204005654,7.44483327389,2003,196.0,6.7534379186,1.0,4.18965474203,0,0.69314718056,0,0.0,6.7534379186,8,2008,61,0,150.0,2003.0,2,2.0,2003,706.0,0.0,0,0,0,6.30809844151,0,3,3.0,1.0,1.0,4.0,12.0,3.0,6.0,4.0,7.0,6.0,4.0,5.0,2.0,2.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,13.0,6.0,15.0,3.0,6.0,7.0,6.0,2.0,17.0,0.0,4.0,5.0,3.0,7.0,0.0,2.0,2.0,4.0,0.0,0.0,3.0,6.0,3.0,1.0,1.0,4.0,12.0,3.0,6.0,4.0,7.0,6.0,4.0,5.0,2.0,2.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,13.0,6.0,15.0,3.0,6.0,7.0,6.0,2.0,17.0,0.0,4.0,5.0,3.0,7.0,0.0,2.0,2.0,4.0,0.0,0.0,3.0,6.0
0,0.0,0,6,8,9.1696225387,7.14124512235,1976,0.0,7.14124512235,0.0,4.39444915467,0,0.69314718056,298,1.0,7.14124512235,6,2007,0,0,284.0,1976.0,2,2.0,1976,978.0,0.0,0,0,1,6.133398043,0,3,2.0,2.0,1.0,4.0,5.0,3.0,6.0,4.0,6.0,3.0,4.0,5.0,2.0,5.0,2.0,1.0,3.0,5.0,3.0,5.0,5.0,4.0,6.0,6.0,12.0,2.0,6.0,5.0,6.0,2.0,21.0,0.0,2.0,5.0,2.0,7.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,6.0,2.0,2.0,1.0,4.0,5.0,3.0,6.0,4.0,6.0,3.0,4.0,5.0,2.0,5.0,2.0,1.0,3.0,5.0,3.0,5.0,5.0,4.0,6.0,6.0,12.0,2.0,6.0,5.0,6.0,2.0,21.0,0.0,2.0,5.0,2.0,7.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,6.0
0,6.76503897678,1,7,5,9.32821229257,7.48829351516,2002,162.0,6.82546003626,1.0,4.2341065046,0,0.69314718056,0,0.0,6.82546003626,6,2008,42,0,434.0,2001.0,2,2.0,2001,486.0,0.0,0,0,1,6.41181826771,0,3,3.0,1.0,1.0,4.0,12.0,3.0,6.0,4.0,7.0,6.0,4.0,5.0,2.0,3.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,13.0,6.0,15.0,3.0,6.0,7.0,6.0,2.0,17.0,0.0,12.0,5.0,3.0,7.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,6.0,3.0,1.0,1.0,4.0,12.0,3.0,6.0,4.0,7.0,6.0,4.0,5.0,2.0,3.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,13.0,6.0,15.0,3.0,6.0,7.0,6.0,2.0,17.0,0.0,12.0,5.0,3.0,7.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,6.0
0,6.62936325344,0,7,5,9.16440114003,7.44891610254,1970,0.0,6.86901445067,1.0,4.11087386417,0,0.69314718056,0,0.0,6.62936325344,7,2006,35,0,540.0,1998.0,1,3.0,1915,216.0,0.0,0,0,1,6.46614472424,272,3,2.0,3.0,1.0,4.0,6.0,2.0,6.0,3.0,7.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,9.0,6.0,10.0,3.0,6.0,5.0,3.0,2.0,18.0,0.0,4.0,2.0,2.0,7.0,0.0,2.0,2.0,4.0,0.0,5.0,3.0,6.0,2.0,3.0,1.0,4.0,6.0,2.0,6.0,3.0,7.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,9.0,6.0,10.0,3.0,6.0,5.0,3.0,2.0,18.0,0.0,4.0,2.0,2.0,7.0,0.0,2.0,2.0,4.0,0.0,5.0,3.0,6.0
0,6.9603477291,1,8,5,9.56528381774,7.69575799055,2000,350.0,7.04403289727,1.0,4.44265125649,0,0.69314718056,192,0.0,7.04403289727,9,2008,84,0,490.0,2000.0,2,3.0,2000,655.0,0.0,0,0,1,6.72982407049,0,4,3.0,2.0,1.0,4.0,12.0,3.0,6.0,4.0,7.0,6.0,4.0,5.0,2.0,4.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,13.0,6.0,15.0,3.0,6.0,7.0,6.0,2.0,25.0,0.0,10.0,5.0,3.0,7.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,6.0,3.0,2.0,1.0,4.0,12.0,3.0,6.0,4.0,7.0,6.0,4.0,5.0,2.0,4.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,13.0,6.0,15.0,3.0,6.0,7.0,6.0,2.0,25.0,0.0,10.0,5.0,3.0,7.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,6.0
320,6.34035930373,1,5,5,9.5550641848,7.2174434317,1995,0.0,6.68085467879,1.0,4.45434729625,700,0.69314718056,40,0.0,6.68085467879,5,2009,30,0,64.0,1993.0,1,2.0,1993,732.0,0.0,0,0,0,6.17586727011,0,1,2.0,1.0,1.0,4.0,12.0,2.0,6.0,4.0,3.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,13.0,6.0,7.0,2.0,6.0,7.0,6.0,2.0,12.0,3.0,5.0,5.0,2.0,7.0,0.0,2.0,2.0,4.0,0.0,0.0,3.0,6.0,2.0,1.0,1.0,4.0,12.0,2.0,6.0,4.0,3.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,13.0,6.0,7.0,2.0,6.0,7.0,6.0,2.0,12.0,3.0,5.0,5.0,2.0,7.0,0.0,2.0,2.0,4.0,0.0,0.0,3.0,6.0
0,0.0,0,8,5,9.21880445039,7.43543801981,2005,186.0,7.43543801981,1.0,4.33073334029,0,0.69314718056,255,0.0,7.43070708255,7,2007,57,0,317.0,2004.0,2,2.0,2004,1369.0,0.0,0,0,1,6.45676965557,0,3,5.0,1.0,1.0,4.0,12.0,3.0,6.0,5.0,6.0,6.0,4.0,5.0,2.0,4.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,13.0,6.0,12.0,3.0,6.0,7.0,6.0,2.0,20.0,0.0,8.0,5.0,3.0,7.0,0.0,2.0,2.0,4.0,0.0,5.0,3.0,6.0,5.0,1.0,1.0,4.0,12.0,3.0,6.0,5.0,6.0,6.0,4.0,5.0,2.0,4.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,13.0,6.0,12.0,3.0,6.0,7.0,6.0,2.0,20.0,0.0,8.0,5.0,3.0,7.0,0.0,2.0,2.0,4.0,0.0,5.0,3.0,6.0
0,6.89162589705,1,7,6,9.2479251323,7.64539769943,1973,240.0,7.01031186731,1.0,4.2341065046,350,0.69314718056,235,0.0,7.01031186731,7,2009,204,0,216.0,1973.0,2,2.0,1973,859.0,32.0,0,0,2,6.18414889094,228,3,5.0,3.0,1.0,4.0,9.0,3.0,6.0,4.0,7.0,3.0,4.0,5.0,2.0,3.0,2.0,2.0,8.0,5.0,3.0,5.0,5.0,4.0,10.0,6.0,15.0,2.0,2.0,5.0,6.0,2.0,14.0,0.0,11.0,5.0,2.0,7.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,6.0,5.0,3.0,1.0,4.0,9.0,3.0,6.0,4.0,7.0,3.0,4.0,5.0,2.0,3.0,2.0,2.0,8.0,5.0,3.0,5.0,5.0,4.0,10.0,6.0,15.0,2.0,2.0,5.0,6.0,2.0,14.0,0.0,11.0,5.0,2.0,7.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,6.0
0,6.6240652278,0,7,5,8.71948076085,7.48155570191,1950,0.0,6.93049476595,0.0,3.95124371858,0,1.09861228867,90,0.0,6.85961490365,8,2008,0,0,952.0,1931.0,2,2.0,1931,0.0,0.0,0,0,2,6.15060276845,205,2,2.0,1.0,1.0,3.0,11.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,5.0,5.0,2.0,9.0,6.0,7.0,2.0,6.0,6.0,3.0,2.0,6.0,0.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,6.0,2.0,1.0,1.0,3.0,11.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,5.0,5.0,2.0,9.0,6.0,7.0,2.0,6.0,6.0,3.0,2.0,6.0,0.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,6.0
0,0.0,0,5,6,8.91206909797,6.98286275147,1950,0.0,6.98286275147,1.0,3.93182563272,0,1.09861228867,0,0.0,6.89972310728,5,2008,4,0,140.0,1939.0,1,1.0,1939,851.0,0.0,0,0,2,5.32787616879,0,2,2.0,3.0,1.0,5.0,5.0,3.0,6.0,3.0,1.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,5.0,4.0,6.0,6.0,4.0,2.0,6.0,7.0,6.0,2.0,4.0,0.0,7.0,5.0,2.0,7.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,6.0,2.0,3.0,1.0,5.0,5.0,3.0,6.0,3.0,1.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,5.0,4.0,6.0,6.0,4.0,2.0,6.0,7.0,6.0,2.0,4.0,0.0,7.0,5.0,2.0,7.0,0.0,2.0,2.0,4.0,0.0,4.0,3.0,6.0
